id,name,price,roastery,country,process,product_url,description,blend,decaf,gesha,price_per_gram
1209,수프리모 우일라 17/18,16800,세웅지씨,콜롬비아,,https://www.sewoonggc.com:443/shop/item.php?it_id=1587625722,,False,False,False,16.8
955,브라질 미나스 제라이스 바이아 아이린 블렌드 NY2/3 SC16/17 펄프드내추럴 Brazil,16700,블레스빈,브라질,펄프드 내추럴 Pulped Natural,https://blessbean.co.kr/shop/item.php?it_id=BR-IN3S001,"품종: 카투아이, 이카투 Catuai, Icatu",True,False,False,16.7
1214,수프리모 18up 프리미엄,16700,세웅지씨,콜롬비아,,https://www.sewoonggc.com:443/shop/item.php?it_id=1483418660,,False,False,False,16.7
795,우간다 부기수 AA 워시드,16700,소펙스코리아,우간다,Washed,https://sopexkorea.com/product/detail.html?product_no=855,"품종: Typica, Kent SL14, SL28",False,False,False,16.7
45,콜롬비아 보니야 워시드 수프리모,16700,알마씨엘로,콜롬비아,워시드,https://www.almacielo.com/shop/detail.php?pno=CFA5301358B9FCBE7AA45B1CEEA088C6&amp;rURL=https%3A%2F%2Fwww.almacielo.com%2Fcontent%2Fcontent.php%3Fcont%3Dsimpleorder&amp;ctype=1&amp;cno1=,품종: CATURRA / CASTILLO,False,False,False,16.7
684,후일라 SUPREMO 워시드_엠비안테 벤데시도,16700,오로미아,콜롬비아,워시드,https://www.oromia.kr/shop/item.php?it_id=08-LC1,,False,False,False,16.7
34,★세일★ 콜롬비아 나리노 하이랜드 크래프트,16600,알마씨엘로,콜롬비아,워시드,https://www.almacielo.com/shop/detail.php?pno=277281AADA22045C03945DCB2CA6F2EC&amp;rURL=https%3A%2F%2Fwww.almacielo.com%2Fcontent%2Fcontent.php%3Fcont%3Dsimpleorder&amp;ctype=1&amp;cno1=,품종: CATURRA CASTILLO,False,False,False,16.6
106,★세일★ 탄자니아 모시 AA 노스,16600,알마씨엘로,탄자니아,,https://www.almacielo.com/shop/detail.php?pno=E369853DF766FA44E1ED0FF613F563BD&amp;rURL=https%3A%2F%2Fwww.almacielo.com%2Fcontent%2Fcontent.php%3Fcont%3Dsimpleorder&amp;ctype=1&amp;cno1=,,False,False,False,16.6
696,에티오피아 구지 킬렌소 내추럴 G3,16600,로열커피,에티오피아,내추럴,https://royalcoffeekorea.co.kr/goods/goods_view.php?goodsNo=1808,품종: 기타품종,False,False,False,16.6
1068,Brazil Mogiana NY2 Fine cup Oesso 브라질 모지아나 NY2 파인컵 Oesso,16500,레헴코리아,브라질,내추럴,https://rnccoffee.kr/product/detail.html?product_no=4526,"품종: Bourbon, Catuai, Vermelho, Mundo Novo",False,False,False,16.5
1394,가요 마운틴 G1 SC 18UP,16500,세웅지씨,인도네시아,,https://www.sewoonggc.com:443/shop/item.php?it_id=1764825651,,False,False,False,16.5
149,베트남 탐바 파인 로부스타 옐로우 허니,16500,에이션빈,베트남,허니,https://www.asianbean.co.kr/shop/shopdetail.html?branduid=12258429&amp;xcode=008&amp;mcode=009&amp;scode=&amp;type=X&amp;sort=manual&amp;current_category=008&amp;search=&amp;GfDT=bmt%2FW18%3D,,False,False,False,16.5
546,브라질 산타이네스 펄프드 내추럴,16500,엠아이커피,브라질,Pulped Natural,https://www.micoffee.co.kr/goods/goods_view.php?goodsNo=1000007533,품종: Yellow Bourbon,False,False,False,16.5
527,브라질 카페 돌체 (내추럴),16500,커피루트,브라질,내추럴,https://koffeeroute.com/product/d37fc643-115f-4426-ad98-07bbe1679f9a,,False,False,False,16.5
1307,수프리모 바예 데 카우카 스페셜,16500,세웅지씨,콜롬비아,,https://www.sewoonggc.com:443/shop/item.php?it_id=1733121577,,False,False,False,16.5
905,엘살바도르 SHG EP 워시드,16500,더블유빈,엘살바도르,Washed,https://www.wbeans.com/goods/goods_view.php?goodsNo=1000008879,품종: Bourbon,False,False,False,16.5
